link,title,price,stock
a-light-in-the-attic_1000/index.html,A Light in the Attic,£51.77,In stock
tipping-the-velvet_999/index.html,Tipping the Velvet,£53.74,In stock
soumission_998/index.html,Soumission,£50.10,In stock
sharp-objects_997/index.html,Sharp Objects,£47.82,In stock
sapiens-a-brief-history-of-humankind_996/index.html,Sapiens: A Brief History of Humankind,£54.23,In stock
the-requiem-red_995/index.html,The Requiem Red,£22.65,In stock
the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock
the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock
the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock
the-black-maria_991/index.html,The Black Maria,£52.15,In stock
starving-hearts-triangular-trade-trilogy-1_990/index.html,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock
shakespeares-sonnets_989/index.html,Shakespeare's Sonnets,£20.66,In stock
set-me-free_988/index.html,Set Me Free,£17.46,In stock
scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock
rip-it-up-and-start-again_986/index.html,Rip it Up and Start Again,£35.02,In stock
our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock
olio_984/index.html,Olio,£23.88,In stock
mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock
libertarianism-for-beginners_982/index.html,Libertarianism for Beginners,£51.33,In stock
its-only-the-himalayas_981/index.html,It's Only the Himalayas,£45.17,In stock
in-her-wake_980/index.html,In Her Wake,£12.84,In stock
how-music-works_979/index.html,How Music Works,£37.32,In stock
foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock
chase-me-paris-nights-2_977/index.html,Chase Me (Paris Nights #2),£25.27,In stock
black-dust_976/index.html,Black Dust,£34.53,In stock
birdsong-a-story-in-pictures_975/index.html,Birdsong: A Story in Pictures,£54.64,In stock
